Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,80.871875,-47.625,270.0,bottom
C1,85.5,-52.4,180.0,bottom
C10,110.909375,-47.4,90.0,bottom
C2,107.145439,-46.034009,135.0,bottom
C3,106.226201,-47.872487,225.0,bottom
C4,99.261199,-41.756013,45.0,bottom
C5,94.134675,-48.367462,315.0,bottom
C6,100.99361,-53.741473,225.0,bottom
C7,99.650108,-53.741473,225.0,bottom
C8,136.7,-46.1,270.0,bottom
C9,115.3,-45.4,270.0,bottom
D1,45.19875,-46.434375,0.0,bottom
D10,216.69375,-46.434375,0.0,bottom
D11,45.19875,-51.196875,0.0,bottom
D12,64.24875,-51.196875,0.0,bottom
D13,83.34375,-65.484375,0.0,bottom
D14,102.39375,-65.484375,0.0,bottom
D15,121.44375,-51.196875,0.0,bottom
D16,140.49375,-51.196875,0.0,bottom
D17,159.54375,-51.196875,0.0,bottom
D18,178.59375,-51.196875,0.0,bottom
D19,197.64375,-51.196875,0.0,bottom
D2,64.24875,-46.434375,0.0,bottom
D20,216.69375,-51.196875,0.0,bottom
D21,45.22125,-70.269375,0.0,bottom
D22,64.29375,-70.246875,0.0,bottom
D23,83.34375,-70.246875,0.0,bottom
D24,102.39375,-70.246875,0.0,bottom
D25,121.44375,-70.246875,0.0,bottom
D26,140.49375,-70.246875,0.0,bottom
D27,159.54375,-70.246875,0.0,bottom
D28,178.59375,-70.246875,0.0,bottom
D29,197.64375,-70.246875,0.0,bottom
D3,83.34375,-63.103125,0.0,bottom
D30,216.69375,-70.246875,0.0,bottom
D31,45.24375,-84.534375,0.0,bottom
D32,64.33875,-84.534375,0.0,bottom
D33,83.38875,-84.534375,0.0,bottom
D34,102.43875,-84.534375,0.0,bottom
D35,121.48875,-84.534375,0.0,bottom
D36,140.53875,-84.534375,0.0,bottom
D37,159.58875,-84.534375,0.0,bottom
D38,178.63875,-84.534375,0.0,bottom
D39,197.68875,-84.534375,0.0,bottom
D4,102.39375,-63.103125,0.0,bottom
D5,121.44375,-48.815625,0.0,bottom
D6,140.49375,-48.815625,0.0,bottom
D7,159.54375,-46.434375,0.0,bottom
D8,178.59375,-46.434375,0.0,bottom
D9,197.64375,-46.434375,0.0,bottom
F1,138.475,-43.8875,270.0,bottom
J1,135.73125,-34.8375,180.0,bottom
R1,142.675,-36.9875,270.0,bottom
R2,141.725,-36.9875,90.0,bottom
R3,82.121875,-52.425,0.0,bottom
R4,81.121875,-53.425,0.0,bottom
RST1,86.915625,-47.625,270.0,bottom
U1,100.0125,-47.625,135.0,bottom
U2,135.725,-42.0375,90.0,bottom
U3,113.109375,-46.4,270.0,bottom
